hh_id,vehicle_id,vehicle_num,year,fuel_type,hh_weight
22073740,2207374002,2,2022,1,4983.90486
22073798,2207379801,1,2016,1,1831.072044
22073799,2207379901,1,2013,1,821.6606382
22073799,2207379902,2,2004,1,821.6606382
22073843,2207384301,1,2011,1,698.7549437
22073884,2207388401,1,2014,1,798.0567389
22074046,2207404601,1,2016,1,2536.737332
22074135,2207413501,1,2015,1,1522.43664
22074135,2207413502,2,2008,2,1522.43664
22074169,2207416901,1,2005,1,76.97100638
22074250,2207425001,1,2021,1,77.53338478
22074433,2207443301,1,2014,1,153.3348279
22074469,2207446901,1,2000,1,76.66131892
22074469,2207446902,2,1996,1,76.66131892
22074541,2207454101,1,2019,1,7624.435044
